UniProt	GeneSymbol	GATA4_expanded	TBX5_expanded	NKX25_expanded
Q08211	DHX9	1	1	0
O75937	DNAJC8	1	1	0
Q15029	EFTUD2	1	1	0
P38919	EIF4A3	1	1	0
Q4ZG51	NA	1	1	0
Q9Y5B6	NA	1	1	0
O43719	HTATSF1	1	1	0
O00425	IGF2BP3	1	1	0
Q13123	IK	1	1	0
Q9ULR0	ISY1	1	1	0
Q69YN4	NA	1	1	0
Q9Y333	LSM2	1	1	0
P62310	LSM3	1	1	0
Q9Y4Z0	LSM4	1	1	0
P62312	LSM6	1	1	0
Q9UK45	LSM7	1	1	0
P61326	MAGOH	1	1	0
P55081	MFAP1	1	1	0
Q9HCE1	MOV10	1	1	0
Q09161	NCBP1	1	1	0
P52298	NCBP2	1	1	0
P55769	SNU13	1	1	0
O43809	NUDT21	1	1	0
P11940	PABPC1	1	1	0
O43660	PLRG1	1	1	0
Q9UNP9	PPIE	1	1	0
O43447	NA	1	1	0
Q9Y3C6	PPIL1	1	1	0
Q13356	NA	1	1	0
Q9H2H8	PPIL3	1	1	0
O15355	PPM1G	1	1	0
Q96BP3	PPWD1	1	1	0
Q99633	NA	1	1	0
Q9UMS4	PRPF19	1	1	0
O43395	NA	1	1	0
Q8WWY3	NA	1	1	0
O43172	NA	1	1	0
O75400	PRPF40A	1	1	0
Q13523	PRPF4B	1	1	0
O94906	PRPF6	1	1	0
Q6P2Q9	PRPF8	1	1	0
Q9UHX1	PUF60	1	1	0
Q96T37	RBM15	1	1	0
Q96I25	RBM17	1	1	0
Q9NW64	RBM22	1	1	0
P49756	RBM25	1	1	0
Q14498	RBM39	1	1	0
Q9Y5S9	RBM8A	1	1	0
Q15287	RNPS1	1	1	0
O43290	SART1	1	1	0
Q15637	SF1	1	1	0
Q15459	SF3A1	1	1	0
Q15428	SF3A2	1	1	0
Q12874	SF3A3	1	1	0
O75533	SF3B1	1	1	0
Q9Y3B4	SF3B6	1	1	0
Q13435	SF3B2	1	1	0
Q15393	SF3B3	1	1	0
Q15427	SF3B4	1	1	0
Q07955	SRSF1	1	1	0
Q05519	NA	1	1	0
Q01130	SRSF2	1	1	0
P84103	SRSF3	1	1	0
Q08170	SRSF4	1	1	0
Q13243	SRSF5	1	1	0
Q16629	SRSF7	1	1	0
P42285	MTREX	1	1	0
O95391	SLU7	1	1	0
O75940	SMNDC1	1	1	0
Q2TAY7	SMU1	1	1	0
O75643	SNRNP200	1	1	0
Q8WVK2	NA	1	1	0
Q96DI7	SNRNP40	1	1	0
P08621	SNRNP70	1	1	0
P09012	SNRPA	1	1	0
P09661	SNRPA1	1	1	0
P14678	SNRPB	1	1	0
P08579	SNRPB2	1	1	0
P09234	SNRPC	1	1	0
P62314	SNRPD1	1	1	0
P62316	SNRPD2	1	1	0
P62318	SNRPD3	1	1	0
P62304	SNRPE	1	1	0
P62306	SNRPF	1	1	0
P62308	SNRPG	1	1	0
Q13573	SNW1	1	1	0
Q96T58	NA	1	1	0
O15042	U2SURP	1	1	0
Q8IYB3	SRRM1	1	1	0
Q9UQ35	SRRM2	1	1	0
Q9BXP5	SRRT	1	1	0
Q13247	SRSF6	1	1	0
Q13242	SRSF9	1	1	0
O95926	SYF2	1	1	0
