Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
Q8N8D1	O75533	18S U11/U12 snRNP	430	PDCD7	SF3B1	1	0	1
Q8N8D1	Q9Y3B4	18S U11/U12 snRNP	430	PDCD7	SF3B6	1	0	1
Q8N8D1	Q13435	18S U11/U12 snRNP	430	PDCD7	SF3B2	1	0	1
Q8N8D1	Q15393	18S U11/U12 snRNP	430	PDCD7	SF3B3	1	0	1
Q8N8D1	Q15427	18S U11/U12 snRNP	430	PDCD7	SF3B4	1	0	1
Q8N8D1	Q9BWJ5	18S U11/U12 snRNP	430	PDCD7	SF3B5	1	0	1
Q8N8D1	P14678	18S U11/U12 snRNP	430	PDCD7	SNRPB	1	0	1
Q8N8D1	P62314	18S U11/U12 snRNP	430	PDCD7	SNRPD1	1	0	1
Q8N8D1	P62316	18S U11/U12 snRNP	430	PDCD7	SNRPD2	1	0	1
Q8N8D1	P62318	18S U11/U12 snRNP	430	PDCD7	SNRPD3	1	0	1
Q8N8D1	P62304	18S U11/U12 snRNP	430	PDCD7	SNRPE	1	0	1
Q8N8D1	P62306	18S U11/U12 snRNP	430	PDCD7	SNRPF	1	0	1
Q8N8D1	P62308	18S U11/U12 snRNP	430	PDCD7	SNRPG	1	0	1
Q8N8D1	Q16560	18S U11/U12 snRNP	430	PDCD7	SNRNP35	1	0	1
Q8N8D1	P67809	18S U11/U12 snRNP	430	PDCD7	YBX1	1	0	1
Q8N8D1	Q8TBF4	18S U11/U12 snRNP	430	PDCD7	ZCRB1	1	0	1
Q8N8D1	Q9UDW3	18S U11/U12 snRNP	430	PDCD7	ZMAT5	1	0	1
Q8N8D1	Q15696	18S U11/U12 snRNP	430	PDCD7	ZRSR2	1	0	1
Q6P2Q9	Q96LT9	18S U11/U12 snRNP	430	PRPF8	RNPC3	1	0	1
Q6P2Q9	O75533	18S U11/U12 snRNP	430	PRPF8	SF3B1	1	0	1
Q6P2Q9	Q9Y3B4	18S U11/U12 snRNP	430	PRPF8	SF3B6	1	0	1
Q6P2Q9	Q13435	18S U11/U12 snRNP	430	PRPF8	SF3B2	1	0	1
Q6P2Q9	Q15393	18S U11/U12 snRNP	430	PRPF8	SF3B3	1	0	1
Q6P2Q9	Q15427	18S U11/U12 snRNP	430	PRPF8	SF3B4	1	0	1
Q6P2Q9	Q9BWJ5	18S U11/U12 snRNP	430	PRPF8	SF3B5	1	0	1
Q6P2Q9	P14678	18S U11/U12 snRNP	430	PRPF8	SNRPB	1	0	1
Q6P2Q9	P62314	18S U11/U12 snRNP	430	PRPF8	SNRPD1	1	0	1
Q6P2Q9	P62316	18S U11/U12 snRNP	430	PRPF8	SNRPD2	1	0	1
Q6P2Q9	P62318	18S U11/U12 snRNP	430	PRPF8	SNRPD3	1	0	1
Q6P2Q9	P62304	18S U11/U12 snRNP	430	PRPF8	SNRPE	1	0	1
Q6P2Q9	P62306	18S U11/U12 snRNP	430	PRPF8	SNRPF	1	0	1
Q6P2Q9	P62308	18S U11/U12 snRNP	430	PRPF8	SNRPG	1	0	1
Q6P2Q9	Q16560	18S U11/U12 snRNP	430	PRPF8	SNRNP35	1	0	1
Q6P2Q9	P67809	18S U11/U12 snRNP	430	PRPF8	YBX1	1	0	1
Q6P2Q9	Q8TBF4	18S U11/U12 snRNP	430	PRPF8	ZCRB1	1	0	1
Q6P2Q9	Q9UDW3	18S U11/U12 snRNP	430	PRPF8	ZMAT5	1	0	1
Q6P2Q9	Q15696	18S U11/U12 snRNP	430	PRPF8	ZRSR2	1	0	1
Q96LT9	O75533	18S U11/U12 snRNP	430	RNPC3	SF3B1	1	0	1
Q96LT9	Q9Y3B4	18S U11/U12 snRNP	430	RNPC3	SF3B6	1	0	1
