Bait	Prey	#Rep	AvgP	BFDR
NKX25	Q9P1Y6	3	0.0001	0.7599
NKX25	Q9UDR5	3	0.2375	0.4055
NKX25	Q9UKM9	3	0.0000	0.7800
NKX25	Q9UNZ5	3	0.0000	0.7800
NKX25	Q9Y224	3	0.0000	0.7800
NKX25	Q9Y237	3	1.0000	0.0000
NKX25	Q9Y2W1	3	0.0000	0.7800
NKX25	Q9Y383	3	0.6666	0.0949
NKX25	Q9Y3D9	3	0.0000	0.7800
NKX25	Q9Y3I0	3	0.0008	0.7358
NKX25	Q9Y3Y2	3	0.0022	0.7124
NKX25	Q9Y5J9	3	0.0619	0.5468
NKX25	Q9Y5L4	3	0.3217	0.3359
NKX25	Q9Y6M1	3	0.0019	0.7200
