Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
Q8N8D1	P62306	PDCD7	SNRPF	18S U11/U12 snRNP	430
Q8N8D1	P62308	PDCD7	SNRPG	18S U11/U12 snRNP	430
Q8N8D1	Q16560	PDCD7	SNRNP35	18S U11/U12 snRNP	430
Q8N8D1	P67809	PDCD7	YBX1	18S U11/U12 snRNP	430
Q8N8D1	Q8TBF4	PDCD7	ZCRB1	18S U11/U12 snRNP	430
Q8N8D1	Q9UDW3	PDCD7	ZMAT5	18S U11/U12 snRNP	430
Q8N8D1	Q15696	PDCD7	ZRSR2	18S U11/U12 snRNP	430
Q6P2Q9	Q96LT9	PRPF8	RNPC3	18S U11/U12 snRNP	430
Q6P2Q9	O75533	PRPF8	SF3B1	18S U11/U12 snRNP	430
Q6P2Q9	Q9Y3B4	PRPF8	SF3B6	18S U11/U12 snRNP	430
Q6P2Q9	Q13435	PRPF8	SF3B2	18S U11/U12 snRNP	430
Q6P2Q9	Q15393	PRPF8	SF3B3	18S U11/U12 snRNP	430
Q6P2Q9	Q15427	PRPF8	SF3B4	18S U11/U12 snRNP	430
Q6P2Q9	Q9BWJ5	PRPF8	SF3B5	18S U11/U12 snRNP	430
Q6P2Q9	P14678	PRPF8	SNRPB	18S U11/U12 snRNP	430
Q6P2Q9	P62314	PRPF8	SNRPD1	18S U11/U12 snRNP	430
Q6P2Q9	P62316	PRPF8	SNRPD2	18S U11/U12 snRNP	430
Q6P2Q9	P62318	PRPF8	SNRPD3	18S U11/U12 snRNP	430
Q6P2Q9	P62304	PRPF8	SNRPE	18S U11/U12 snRNP	430
Q6P2Q9	P62306	PRPF8	SNRPF	18S U11/U12 snRNP	430
Q6P2Q9	P62308	PRPF8	SNRPG	18S U11/U12 snRNP	430
Q6P2Q9	Q16560	PRPF8	SNRNP35	18S U11/U12 snRNP	430
Q6P2Q9	P67809	PRPF8	YBX1	18S U11/U12 snRNP	430
Q6P2Q9	Q8TBF4	PRPF8	ZCRB1	18S U11/U12 snRNP	430
Q6P2Q9	Q9UDW3	PRPF8	ZMAT5	18S U11/U12 snRNP	430
Q6P2Q9	Q15696	PRPF8	ZRSR2	18S U11/U12 snRNP	430
Q96LT9	O75533	RNPC3	SF3B1	18S U11/U12 snRNP	430
Q96LT9	Q9Y3B4	RNPC3	SF3B6	18S U11/U12 snRNP	430
Q96LT9	Q13435	RNPC3	SF3B2	18S U11/U12 snRNP	430
Q96LT9	Q15393	RNPC3	SF3B3	18S U11/U12 snRNP	430
Q96LT9	Q15427	RNPC3	SF3B4	18S U11/U12 snRNP	430
Q96LT9	Q9BWJ5	RNPC3	SF3B5	18S U11/U12 snRNP	430
Q96LT9	P14678	RNPC3	SNRPB	18S U11/U12 snRNP	430
Q96LT9	P62314	RNPC3	SNRPD1	18S U11/U12 snRNP	430
Q96LT9	P62316	RNPC3	SNRPD2	18S U11/U12 snRNP	430
Q96LT9	P62318	RNPC3	SNRPD3	18S U11/U12 snRNP	430
Q96LT9	P62304	RNPC3	SNRPE	18S U11/U12 snRNP	430
Q96LT9	P62306	RNPC3	SNRPF	18S U11/U12 snRNP	430
Q96LT9	P62308	RNPC3	SNRPG	18S U11/U12 snRNP	430
Q96LT9	Q16560	RNPC3	SNRNP35	18S U11/U12 snRNP	430
Q96LT9	P67809	RNPC3	YBX1	18S U11/U12 snRNP	430
Q96LT9	Q8TBF4	RNPC3	ZCRB1	18S U11/U12 snRNP	430
Q96LT9	Q9UDW3	RNPC3	ZMAT5	18S U11/U12 snRNP	430
Q96LT9	Q15696	RNPC3	ZRSR2	18S U11/U12 snRNP	430
O75533	Q9Y3B4	SF3B1	SF3B6	18S U11/U12 snRNP	430
O75533	Q13435	SF3B1	SF3B2	18S U11/U12 snRNP	430
O75533	Q15393	SF3B1	SF3B3	18S U11/U12 snRNP	430
O75533	Q15427	SF3B1	SF3B4	18S U11/U12 snRNP	430
O75533	Q9BWJ5	SF3B1	SF3B5	18S U11/U12 snRNP	430
O75533	P14678	SF3B1	SNRPB	18S U11/U12 snRNP	430
O75533	P62314	SF3B1	SNRPD1	18S U11/U12 snRNP	430
O75533	P62316	SF3B1	SNRPD2	18S U11/U12 snRNP	430
O75533	P62318	SF3B1	SNRPD3	18S U11/U12 snRNP	430
O75533	P62304	SF3B1	SNRPE	18S U11/U12 snRNP	430
O75533	P62306	SF3B1	SNRPF	18S U11/U12 snRNP	430
O75533	P62308	SF3B1	SNRPG	18S U11/U12 snRNP	430
O75533	Q16560	SF3B1	SNRNP35	18S U11/U12 snRNP	430
O75533	P67809	SF3B1	YBX1	18S U11/U12 snRNP	430
O75533	Q8TBF4	SF3B1	ZCRB1	18S U11/U12 snRNP	430
O75533	Q9UDW3	SF3B1	ZMAT5	18S U11/U12 snRNP	430
O75533	Q15696	SF3B1	ZRSR2	18S U11/U12 snRNP	430
Q9Y3B4	Q13435	SF3B6	SF3B2	18S U11/U12 snRNP	430
Q9Y3B4	Q15393	SF3B6	SF3B3	18S U11/U12 snRNP	430
Q9Y3B4	Q15427	SF3B6	SF3B4	18S U11/U12 snRNP	430
Q9Y3B4	Q9BWJ5	SF3B6	SF3B5	18S U11/U12 snRNP	430
Q9Y3B4	P14678	SF3B6	SNRPB	18S U11/U12 snRNP	430
Q9Y3B4	P62314	SF3B6	SNRPD1	18S U11/U12 snRNP	430
Q9Y3B4	P62316	SF3B6	SNRPD2	18S U11/U12 snRNP	430
Q9Y3B4	P62318	SF3B6	SNRPD3	18S U11/U12 snRNP	430
Q9Y3B4	P62304	SF3B6	SNRPE	18S U11/U12 snRNP	430
Q9Y3B4	P62306	SF3B6	SNRPF	18S U11/U12 snRNP	430
Q9Y3B4	P62308	SF3B6	SNRPG	18S U11/U12 snRNP	430
Q9Y3B4	Q16560	SF3B6	SNRNP35	18S U11/U12 snRNP	430
Q9Y3B4	P67809	SF3B6	YBX1	18S U11/U12 snRNP	430
Q9Y3B4	Q8TBF4	SF3B6	ZCRB1	18S U11/U12 snRNP	430
Q9Y3B4	Q9UDW3	SF3B6	ZMAT5	18S U11/U12 snRNP	430
Q9Y3B4	Q15696	SF3B6	ZRSR2	18S U11/U12 snRNP	430
Q13435	Q15393	SF3B2	SF3B3	18S U11/U12 snRNP	430
Q13435	Q15427	SF3B2	SF3B4	18S U11/U12 snRNP	430
Q13435	Q9BWJ5	SF3B2	SF3B5	18S U11/U12 snRNP	430
Q13435	P14678	SF3B2	SNRPB	18S U11/U12 snRNP	430
Q13435	P62314	SF3B2	SNRPD1	18S U11/U12 snRNP	430
Q13435	P62316	SF3B2	SNRPD2	18S U11/U12 snRNP	430
Q13435	P62318	SF3B2	SNRPD3	18S U11/U12 snRNP	430
Q13435	P62304	SF3B2	SNRPE	18S U11/U12 snRNP	430
Q13435	P62306	SF3B2	SNRPF	18S U11/U12 snRNP	430
Q13435	P62308	SF3B2	SNRPG	18S U11/U12 snRNP	430
Q13435	Q16560	SF3B2	SNRNP35	18S U11/U12 snRNP	430
Q13435	P67809	SF3B2	YBX1	18S U11/U12 snRNP	430
Q13435	Q8TBF4	SF3B2	ZCRB1	18S U11/U12 snRNP	430
Q13435	Q9UDW3	SF3B2	ZMAT5	18S U11/U12 snRNP	430
Q13435	Q15696	SF3B2	ZRSR2	18S U11/U12 snRNP	430
Q15393	Q15427	SF3B3	SF3B4	18S U11/U12 snRNP	430
Q15393	Q9BWJ5	SF3B3	SF3B5	18S U11/U12 snRNP	430
Q15393	P14678	SF3B3	SNRPB	18S U11/U12 snRNP	430
Q15393	P62314	SF3B3	SNRPD1	18S U11/U12 snRNP	430
Q15393	P62316	SF3B3	SNRPD2	18S U11/U12 snRNP	430
Q15393	P62318	SF3B3	SNRPD3	18S U11/U12 snRNP	430
Q15393	P62304	SF3B3	SNRPE	18S U11/U12 snRNP	430
Q15393	P62306	SF3B3	SNRPF	18S U11/U12 snRNP	430
Q15393	P62308	SF3B3	SNRPG	18S U11/U12 snRNP	430
Q15393	Q16560	SF3B3	SNRNP35	18S U11/U12 snRNP	430
Q15393	P67809	SF3B3	YBX1	18S U11/U12 snRNP	430
Q15393	Q8TBF4	SF3B3	ZCRB1	18S U11/U12 snRNP	430
Q15393	Q9UDW3	SF3B3	ZMAT5	18S U11/U12 snRNP	430
Q15393	Q15696	SF3B3	ZRSR2	18S U11/U12 snRNP	430
Q15427	Q9BWJ5	SF3B4	SF3B5	18S U11/U12 snRNP	430
Q15427	P14678	SF3B4	SNRPB	18S U11/U12 snRNP	430
Q15427	P62314	SF3B4	SNRPD1	18S U11/U12 snRNP	430
Q15427	P62316	SF3B4	SNRPD2	18S U11/U12 snRNP	430
Q15427	P62318	SF3B4	SNRPD3	18S U11/U12 snRNP	430
Q15427	P62304	SF3B4	SNRPE	18S U11/U12 snRNP	430
Q15427	P62306	SF3B4	SNRPF	18S U11/U12 snRNP	430
Q15427	P62308	SF3B4	SNRPG	18S U11/U12 snRNP	430
Q15427	Q16560	SF3B4	SNRNP35	18S U11/U12 snRNP	430
Q15427	P67809	SF3B4	YBX1	18S U11/U12 snRNP	430
Q15427	Q8TBF4	SF3B4	ZCRB1	18S U11/U12 snRNP	430
Q15427	Q9UDW3	SF3B4	ZMAT5	18S U11/U12 snRNP	430
Q15427	Q15696	SF3B4	ZRSR2	18S U11/U12 snRNP	430
Q9BWJ5	P14678	SF3B5	SNRPB	18S U11/U12 snRNP	430
Q9BWJ5	P62314	SF3B5	SNRPD1	18S U11/U12 snRNP	430
Q9BWJ5	P62316	SF3B5	SNRPD2	18S U11/U12 snRNP	430
Q9BWJ5	P62318	SF3B5	SNRPD3	18S U11/U12 snRNP	430
Q9BWJ5	P62304	SF3B5	SNRPE	18S U11/U12 snRNP	430
Q9BWJ5	P62306	SF3B5	SNRPF	18S U11/U12 snRNP	430
Q9BWJ5	P62308	SF3B5	SNRPG	18S U11/U12 snRNP	430
Q9BWJ5	Q16560	SF3B5	SNRNP35	18S U11/U12 snRNP	430
Q9BWJ5	P67809	SF3B5	YBX1	18S U11/U12 snRNP	430
Q9BWJ5	Q8TBF4	SF3B5	ZCRB1	18S U11/U12 snRNP	430
Q9BWJ5	Q9UDW3	SF3B5	ZMAT5	18S U11/U12 snRNP	430
Q9BWJ5	Q15696	SF3B5	ZRSR2	18S U11/U12 snRNP	430
P14678	P62314	SNRPB	SNRPD1	18S U11/U12 snRNP	430
P14678	P62316	SNRPB	SNRPD2	18S U11/U12 snRNP	430
