"SUID","BH","name","selected","shared name","uidA","uidB"
"72","0.347415066469719","PIWIL1","false","PIWIL1","A0A024RBS5",""
"73","1.0","UTP20","false","UTP20","","O75691"
"74","0.531782945736434","SPIRE1","false","SPIRE1","","Q08AE8"
"75","1.0","EPHA7","false","EPHA7","Q15375","Q15375"
"76","0.182835820895522","NRXN2","false","NRXN2","","Q9P2S2"
"77","0.303875968992248","DDX60","false","DDX60","Q8IY21",""
"78","1.0","TJP2","false","TJP2","Q9UDY2",""
"79","1.0","RNF10","false","RNF10","A0A024RBP0",""
"80","0.512418300653595","NISCH","false","NISCH","Q9Y2I1","Q9Y2I1"
"81","0.890909090909091","CDADC1","false","CDADC1","Q9BWV3",""
"82","0.00450255102040816","AKAP6","false","AKAP6","Q13023",""
"83","0.00450255102040816","WDR34","false","WDR34","Q96EX3","Q96EX3"
"84","0.209625668449198","ABCG1","false","ABCG1","P45844","P45844"
"85","1.0","ATCAY","false","ATCAY","A0A0S2Z5T8","A0A0S2Z5T8"
"86","0.408333333333333","WDR17","false","WDR17","","Q8IZU2"
"87","0.0464454976303318","MTSS1","false","MTSS1","O43312",""
"88","0.0464454976303318","DLGAP5","false","DLGAP5","Q15398",""
"89","1.0","WDR74","false","WDR74","Q6RFH5",""
"90","1.0","CADPS","false","CADPS","Q9ULU8","Q9ULU8"
"91","1.0","UACA","false","UACA","Q9BZF9",""
"92","0.626044226044226","ZNF79","false","ZNF79","Q15937",""
"93","0.729302325581395","PPP2R2C","false","PPP2R2C","","Q9Y2T4"
"94","1.0","IL12RB2","false","IL12RB2","","Q99665"
"95","1.0","IL12RB1","false","IL12RB1","P42701",""
"96","0.812094064949608","SLC5A6","false","SLC5A6","","Q9Y289"
"97","0.00450255102040816","N4BP1","false","N4BP1","","O75113"
"98","1.0","LCP1","false","LCP1","A0A024RDT4","A0A024RDT4"
"99","1.0","ANKS1B","false","ANKS1B","","Q7Z6G8"
"100","0.151059730250482","ABAT","false","ABAT","P80404","P80404"
"101","1.0","HAUS3","false","HAUS3","","Q68CZ6"
"102","1.0","ARHGEF5","false","ARHGEF5","","Q12774"
"103","0.454570259208731","TRIM10","false","TRIM10","Q9UDY6","Q9UDY6"
"104","0.408333333333333","LOXL3","false","LOXL3","","P58215"
"105","1.0","KCNJ8","false","KCNJ8","A0A024RAV6","A0A024RAV6"
"106","0.182835820895522","PLEKHA3","false","PLEKHA3","Q9HB20","Q9HB20"
"107","1.0","EPN3","false","EPN3","","Q9H201"
"108","0.954611398963731","ARID1B","false","ARID1B","Q8NFD5","Q8NFD5"
"109","0.492592592592593","C10orf90","false","C10orf90","","Q96M02"
"110","0.0464454976303318","FAXC","false","FAXC","Q5TGI0","Q5TGI0"
"111","0.258745874587459","ZNF521","false","ZNF521","Q96K83",""
"112","0.0464454976303318","DAAM1","false","DAAM1","Q9Y4D1","Q9Y4D1"
"113","0.151059730250482","OTUD7B","false","OTUD7B","Q6GQQ9","Q6GQQ9"
"114","0.454570259208731","TM2D2","false","TM2D2","Q9BX73",""
"115","1.0","SCAP","false","SCAP","Q12770","Q12770"
"116","1.0","BCKDHA","false","BCKDHA","","A0A024R0K3"
"117","0.430769230769231","GREB1L","false","GREB1L","","Q9C091"
"118","0.569191919191919","ZNF766","false","ZNF766","","Q5HY98"
"119","0.325188536953243","ZNF829","false","ZNF829","","Q3KNS6"
"120","1.0","CHL1","false","CHL1","","O00533"
"121","1.0","PARVB","false","PARVB","Q9HBI1",""
"122","1.0","IFRD2","false","IFRD2","","Q12894"
"123","0.00450255102040816","TRIP4","false","TRIP4","","Q15650"
"124","1.0","PHPT1","false","PHPT1","","Q9NRX4"
"125","0.512418300653595","AMELX","false","AMELX","Q99217","Q99217"
