Bait	Prey	#Rep	#Pep	AvgP	BFDR
gata4	O75947	3	2	0.3333	0.3333
gata4	O75962	3	20	0.9303	0.0126
tbx5	O75962	3	20	0.0667	0.5100
gata4	O75964	3	1	0.3332	0.4193
tbx5	O75964	3	1	0.3333	0.3333
gata4	O76021	3	7	0.1667	0.4696
tbx5	O76021	3	7	0.5000	0.2577
tbx5	O76094	3	1	0.3333	0.3333
gata4	O94776	3	12	0.0555	0.5138
tbx5	O94776	3	12	1.0000	0.0000
gata4	O94819	3	1	0.0085	0.5282
tbx5	O94819	3	1	0.0758	0.5068
tbx5	O94832	3	15	0.3333	0.3333
tbx5	O94880	3	5	0.5556	0.2208
gata4	O94886	3	1	1.0000	0.0000
tbx5	O94905	3	4	0.7778	0.0805
gata4	O94906	3	12	0.7222	0.1188
tbx5	O94906	3	12	0.7778	0.0805
tbx5	O94913	3	2	0.3249	0.4312
gata4	O94973	3	2	0.1667	0.4696
tbx5	O94973	3	2	0.1667	0.4696
tbx5	O95071	3	3	0.3333	0.3333
tbx5	O95232	3	1	0.3333	0.3333
tbx5	O95235	3	22	0.7576	0.1054
gata4	O95239	3	5	0.1111	0.4899
tbx5	O95239	3	5	0.3333	0.3333
tbx5	O95251	3	4	0.3255	0.4310
gata4	O95292	3	15	0.0417	0.5195
tbx5	O95292	3	15	0.9583	0.0034
gata4	O95347	3	5	0.5555	0.2308
tbx5	O95347	3	5	0.3332	0.4193
tbx5	O95400	3	1	0.6666	0.1767
tbx5	O95429	3	4	0.5556	0.2208
tbx5	O95478	3	2	0.3333	0.3333
gata4	O95619	3	4	0.2206	0.4601
tbx5	O95619	3	4	0.5556	0.2208
tbx5	O95625	3	6	0.7767	0.0962
tbx5	O95696	3	3	0.3333	0.3333
tbx5	O95782	3	1	0.3333	0.3333
gata4	O95785	3	8	0.4164	0.3176
tbx5	O95785	3	8	0.7500	0.1074
tbx5	O95793	3	2	0.3333	0.3333
tbx5	O95816	3	4	0.7767	0.0962
tbx5	O95819	3	5	0.4441	0.3043
tbx5	O95947	3	1	0.3333	0.3333
tbx5	O95983	3	5	0.6667	0.1340
gata4	O96019	3	7	0.2283	0.4511
tbx5	O96019	3	7	0.9948	0.0002
gata4	P00387	3	4	0.8889	0.0289
tbx5	P00387	3	4	0.2222	0.4523
tbx5	P01023	3	1	0.0000	0.5361
gata4	P01591	3	2	0.4999	0.2714
tbx5	P01591	3	2	0.1667	0.4696
tbx5	P01834	3	2	0.0034	0.5304
gata4	P01859	3	3	0.3484	0.3304
tbx5	P01859	3	3	0.1883	0.4656
gata4	P02545	3	16	0.4011	0.3218
tbx5	P02545	3	16	0.5328	0.2462
tbx5	P04075	3	2	0.6667	0.1340
tbx5	P04183	3	1	0.3333	0.3333
gata4	P04264	3	1	0.2745	0.4405
tbx5	P04264	3	1	0.3179	0.4336
gata4	P04406	3	6	0.3588	0.3286
tbx5	P04406	3	6	0.4026	0.3212
gata4	P04637	3	30	0.7496	0.1098
tbx5	P04637	3	30	1.0000	0.0000
tbx5	P04792	3	2	0.6667	0.1340
gata4	P04843	3	14	0.8814	0.0396
tbx5	P04843	3	14	0.7619	0.1030
gata4	P04844	3	4	0.6647	0.1908
tbx5	P04844	3	4	0.7778	0.0805
gata4	P05023	3	8	0.5000	0.2577
tbx5	P05023	3	8	0.8333	0.0534
tbx5	P05114	3	2	0.5000	0.2577
gata4	P05141	3	9	0.6667	0.1340
tbx5	P05141	3	9	0.8667	0.0422
gata4	P05198	3	1	0.6667	0.1340
gata4	P05204	3	5	0.3478	0.3308
tbx5	P05204	3	5	0.6597	0.1941
tbx5	P05387	3	7	0.5024	0.2570
gata4	P05388	3	6	0.0452	0.5171
tbx5	P05388	3	6	0.3900	0.3248
tbx5	P05549	3	1	0.6667	0.1340
gata4	P05783	3	6	0.6531	0.1963
tbx5	P05783	3	6	0.7671	0.1015
gata4	P05976	3	2	0.3333	0.3333
tbx5	P05976	3	2	0.5000	0.2577
gata4	P06493	3	3	0.4289	0.3116
tbx5	P06493	3	3	0.2221	0.4585
gata4	P06576	3	9	0.9333	0.0094
tbx5	P06576	3	9	0.4000	0.3221
gata4	P06748	3	15	0.2146	0.4613
tbx5	P06748	3	15	0.8229	0.0673
tbx5	P07199	3	3	0.2222	0.4523
tbx5	P07203	3	1	0.3333	0.3333
gata4	P07305	3	10	0.2854	0.4381
tbx5	P07305	3	10	0.8401	0.0522
gata4	P07437	3	5	0.6666	0.1767
tbx5	P07437	3	5	1.0000	0.0000
gata4	P07910	3	21	0.6785	0.1310
tbx5	P07910	3	21	0.5559	0.2203
gata4	P08195	3	1	0.9995	0.0000
tbx5	P08195	3	1	0.3300	0.4299
gata4	P08238	3	1	0.3333	0.3333
tbx5	P08238	3	1	0.3333	0.3333
tbx5	P08579	3	1	0.6667	0.1340
gata4	P08621	3	9	0.1257	0.4862
tbx5	P08621	3	9	0.3977	0.3228
gata4	P08670	3	41	0.4601	0.2858
tbx5	P08670	3	41	0.5847	0.2113
tbx5	P08708	3	6	0.5496	0.2424
gata4	P08865	3	7	0.0833	0.5036
tbx5	P08865	3	7	0.6667	0.1340
tbx5	P09001	3	1	0.3333	0.3333
gata4	P09012	3	2	0.2224	0.4520
tbx5	P09012	3	2	0.3912	0.3241
gata4	P09234	3	4	0.1034	0.4983
tbx5	P09234	3	4	0.1227	0.4865
gata4	P09429	3	10	0.6562	0.1950
tbx5	P09429	3	10	0.8230	0.0667
gata4	P09651	3	14	0.9632	0.0030
tbx5	P09651	3	14	0.7406	0.1138
gata4	P09661	3	1	0.3333	0.3333
tbx5	P09661	3	1	1.0000	0.0000
gata4	P09874	3	88	0.9869	0.0006
tbx5	P09874	3	88	0.8379	0.0528
tbx5	P0C7P0	3	4	0.6665	0.1840
gata4	P0C7X3	3	1	0.3333	0.3333
gata4	P0CG12	3	3	0.3329	0.4258
tbx5	P0CJ78	3	9	0.8667	0.0422
gata4	P0DI83	3	6	0.0386	0.5201
tbx5	P0DI83	3	6	0.1093	0.4960
gata4	P0DMV9	3	32	0.9871	0.0004
tbx5	P0DMV9	3	32	0.9535	0.0047
tbx5	P0DN76	3	1	0.4618	0.2847
gata4	P10412	3	5	0.1050	0.4973
tbx5	P10412	3	5	0.3431	0.3319
tbx5	P10599	3	1	0.3333	0.3333
gata4	P10606	3	1	0.3333	0.3333
tbx5	P10606	3	1	0.3333	0.3333
gata4	P10636	3	3	0.4444	0.2899
gata4	P10809	3	17	0.7779	0.0799
tbx5	P10809	3	17	0.6797	0.1293
gata4	P11021	3	25	0.9047	0.0243
tbx5	P11021	3	25	0.7436	0.1113
gata4	P11142	3	39	0.9971	0.0002
tbx5	P11142	3	39	0.9529	0.0051
gata4	P11387	3	18	0.6399	0.1988
tbx5	P11387	3	18	0.5591	0.2195
gata4	P11388	3	62	0.2104	0.4620
tbx5	P11388	3	62	0.7570	0.1059
gata4	P11940	3	7	0.2500	0.4464
tbx5	P11940	3	7	0.5000	0.2577
gata4	P12532	3	14	0.2385	0.4489
tbx5	P12532	3	14	0.9222	0.0147
tbx5	P12755	3	1	0.3333	0.3333
gata4	P12956	3	9	0.8660	0.0449
tbx5	P12956	3	9	0.2667	0.4414
gata4	P13010	3	5	0.2222	0.4523
tbx5	P13010	3	5	0.3629	0.3279
gata4	P13073	3	2	0.1667	0.4696
tbx5	P13073	3	2	0.1667	0.4696
tbx5	P13378	3	1	0.3333	0.3333
gata4	P14373	3	5	0.2222	0.4523
tbx5	P14373	3	5	0.6667	0.1340
tbx5	P14406	3	1	0.6667	0.1340
gata4	P14618	3	3	0.5555	0.2308
gata4	P14866	3	9	0.1862	0.4663
tbx5	P14866	3	9	0.3894	0.3251
tbx5	P14923	3	2	0.0459	0.5168
gata4	P15880	3	18	0.0974	0.4996
tbx5	P15880	3	18	0.5606	0.2191
tbx5	P15924	3	2	0.1507	0.4819
tbx5	P16104	3	2	0.3333	0.3333
gata4	P16402	3	3	0.0422	0.5190
tbx5	P16402	3	3	0.2727	0.4409
gata4	P16403	3	6	0.2528	0.4459
tbx5	P16403	3	6	0.7012	0.1241
tbx5	P17028	3	9	0.6667	0.1340
tbx5	P17039	3	1	0.6647	0.1908
gata4	P17066	3	2	0.5000	0.2577
tbx5	P17066	3	2	0.5000	0.2577
gata4	P17096	3	3	0.3442	0.3315
tbx5	P17096	3	3	0.2567	0.4450
tbx5	P17480	3	15	0.6764	0.1316
tbx5	P17509	3	3	0.5555	0.2308
tbx5	P17812	3	1	0.3332	0.4193
gata4	P17844	3	24	0.5392	0.2448
tbx5	P17844	3	24	0.9029	0.0249
tbx5	P17980	3	7	0.6666	0.1767
tbx5	P18077	3	4	0.2613	0.4430
tbx5	P18124	3	10	0.4610	0.2854
gata4	P18583	3	4	0.4444	0.2899
tbx5	P18583	3	4	0.2222	0.4523
gata4	P18621	3	10	0.3333	0.3333
tbx5	P18621	3	10	0.4000	0.3221
gata4	P18754	3	12	0.6250	0.2035
tbx5	P18754	3	12	0.8268	0.0657
gata4	P18846	3	2	0.1667	0.4696
tbx5	P18846	3	2	0.8333	0.0534
tbx5	P18847	3	3	0.5556	0.2208
tbx5	P19105	3	5	0.6659	0.1886
gata4	P19338	3	38	0.2561	0.4455
tbx5	P19338	3	38	0.7584	0.1044
tbx5	P19387	3	1	0.6666	0.1767
tbx5	P19388	3	2	0.3332	0.4193
tbx5	P19447	3	1	0.3333	0.3333
tbx5	P19484	3	1	0.3333	0.3333
gata4	P19784	3	5	0.4444	0.2899
tbx5	P19784	3	5	0.3333	0.3333
tbx5	P20618	3	3	0.3333	0.3333
tbx5	P20674	3	1	0.6667	0.1340
gata4	P20700	3	34	0.2568	0.4448
tbx5	P20700	3	34	0.5127	0.2519
tbx5	P20719	3	5	0.8887	0.0334
tbx5	P21333	3	4	0.3333	0.3333
gata4	P21796	3	7	0.3333	0.3333
tbx5	P21796	3	7	0.9165	0.0197
gata4	P22087	3	21	0.5097	0.2537
tbx5	P22087	3	21	0.8941	0.0277
gata4	P22626	3	28	0.6174	0.2055
tbx5	P22626	3	28	0.8536	0.0470
tbx5	P22695	3	1	0.3333	0.3333
gata4	P23246	3	53	0.9938	0.0003
tbx5	P23246	3	53	0.5710	0.2156
gata4	P23284	3	3	0.0016	0.5313
tbx5	P23284	3	3	0.2609	0.4434
gata4	P23396	3	14	0.1345	0.4847
tbx5	P23396	3	14	0.7090	0.1225
gata4	P24534	3	2	0.4999	0.2714
tbx5	P24534	3	2	0.1667	0.4696
gata4	P24539	3	3	0.5556	0.2208
tbx5	P24539	3	3	0.1111	0.4899
gata4	P25398	3	7	0.1191	0.4875
tbx5	P25398	3	7	0.8015	0.0737
tbx5	P25440	3	9	1.0000	0.0000
gata4	P25490	3	2	0.3333	0.3333
tbx5	P25490	3	2	0.3333	0.3333
gata4	P25685	3	12	0.9444	0.0075
tbx5	P25685	3	12	0.1111	0.4899
gata4	P25705	3	14	1.0000	0.0000
tbx5	P25705	3	14	0.5238	0.2497
tbx5	P25786	3	5	0.6667	0.1340
tbx5	P25787	3	3	0.4444	0.2899
tbx5	P25788	3	3	0.3333	0.3333
tbx5	P25789	3	6	1.0000	0.0000
tbx5	P26196	3	2	0.6667	0.1340
tbx5	P26368	3	1	0.6667	0.1340
gata4	P26373	3	24	0.8410	0.0510
tbx5	P26373	3	24	0.6289	0.2015
